commentId,videoId,videoUrl,commenterUsername,commenterNickname,commenterUid,commentText,likes,replyCount,commentDate,scrapeDate
"7555860942355448584","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","debm_core","DEBM CORE","7492814689190773761","aku aman aman aj tuh udh dua kli makn","1","0","2025-09-30T12:39:37.000Z","2026-04-10T03:05:41.984Z"
"7571782684508193552","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","chalista_ptr","chalista_yati","7102449476401251329","pemadanga epik","0","0","2025-11-12T10:24:16.000Z","2026-04-10T03:05:41.984Z"
"7576307798595863304","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","denisa_iyakenapa","Nisss★‽","7008137734562137089","nangkep nya gimana coba🗿","0","0","2025-11-24T15:03:52.000Z","2026-04-10T03:05:41.984Z"
"7564630277067178759","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","pibeqqq","zivavieyyy","7384026333359309840","kak itu dah aku makan tapi nggak keracunan","1","0","2025-10-24T03:49:01.000Z","2026-04-10T03:05:41.984Z"
"7557233329369400081","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","akuyantoganteng","YANTO","7275564248624727045","dimana letak tidak masuk akalnya","1","0","2025-10-04T05:27:48.000Z","2026-04-10T03:05:41.984Z"
"7554345661153198866","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","igii_999","️abcd","7442901386322265106","dari banyaknya jenis ikan kenapa pilih ikan hiu","2","0","2025-09-26T10:39:29.000Z","2026-04-10T03:05:41.984Z"
"7573633185469252359","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","sebut_saja_rafi2","ppppppp","7390755502731084806","anjirr jadi kisame","0","0","2025-11-17T10:04:56.000Z","2026-04-10T03:05:41.984Z"
"7585531055722742529","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","zerrrrrrr4","asep","7496428752324150290","abis hiu apa lagi?","0","0","2025-12-19T11:35:00.000Z","2026-04-10T03:05:41.984Z"
"7603593917112107794","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","jekan.raya98","էվանդեր","7598488010430694421","orang Kalimantan bukan kaleng kaleng","0","0","2026-02-06T03:47:58.000Z","2026-04-10T03:05:41.984Z"
"7554197901036126983","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","kyzz_ndaa","ndaa n nya nasgor goreng🤭","7284081843157877765","gaa heran Kalimantan🗿","13","0","2025-09-26T09:14:41.000Z","2026-04-10T03:05:41.984Z"
